range,optimal_x,optimal_y
310,773.4231,548.7331
311,773.4231,548.7331
312,773.4231,548.7331
313,773.4231,548.7331
314,773.4231,548.7331
315,773.4231,548.7331
316,773.4231,548.7331
317,773.4231,548.7331
318,771.9096,555.9978
319,771.9096,555.9978
320,771.9096,555.9978
321,771.9096,555.9978
322,771.9096,555.9978
323,771.9096,555.9978
324,771.9096,555.9978
325,771.9096,555.9978
326,701.7514,549.0530
327,701.7509,549.0539
328,701.7508,549.0552
329,700.6026,554.5667
330,700.3975,555.5505
331,770.3962,563.2624
332,770.3962,563.2624
333,763.5867,542.7630
334,763.5867,542.7630
335,763.5867,542.7630
336,763.5867,542.7630
337,763.5867,542.7630
338,763.5867,542.7630
339,767.9176,548.7887
340,767.9176,548.7887
341,767.9176,548.7887
342,767.9176,548.7887
343,767.9176,548.7887
344,767.9176,548.7887
345,772.2582,554.9986
346,772.2575,554.9977
347,772.2569,554.9968
348,772.2562,554.9958
349,772.2556,554.9948
350,772.2550,554.9939
351,776.5828,561.0157
352,776.5818,561.0138
353,776.5808,561.0128
354,776.5799,561.0109
355,776.5789,561.0099
356,776.5780,561.0089
357,780.8982,567.0195
358,780.8974,567.0184
359,780.8967,567.0174
360,780.8959,567.0163
361,780.8952,567.0153
362,780.8945,567.0142
363,785.2166,573.0277
364,785.2160,573.0266
365,785.2155,573.0255
366,785.2148,573.0254
367,785.2143,573.0243
368,785.2138,573.0232
369,785.2131,573.0231
370,789.5367,579.0378
371,789.5373,579.0390
372,789.5379,579.0392
373,789.5372,579.0390
374,789.5368,579.0378
375,701.7680,548.9704
376,701.7644,548.9864
377,701.7541,549.0382
378,701.7542,549.0382
379,701.7542,549.0382
380,695.0355,605.1812
381,694.7031,606.1372
382,694.3566,607.1044
383,694.0246,608.0532
384,693.7095,608.9851
385,693.3769,609.9296
386,693.0635,610.8495
387,692.3964,611.8018
388,691.1108,612.6589
389,691.7984,613.9498
390,691.5012,614.8354
391,691.1939,615.7193
392,690.6102,616.7465
393,690.4722,617.7233
394,690.2798,618.7966
395,684.9875,622.6617
396,683.7200,622.0388
397,690.7856,622.1026
398,690.8963,623.0471
399,689.8605,623.9922
400,690.5096,625.0049
401,684.3377,625.0327
402,680.9322,625.4867
403,680.3575,626.3866
404,687.4339,628.5649
405,688.6566,631.9799
406,691.9076,632.0181
407,692.7777,631.3504
408,693.6225,630.6289
409,694.6946,630.0273
410,695.9889,629.2682
411,696.5083,628.3999
412,698.5402,628.1558
413,699.0622,627.2109
414,700.0418,626.3635
415,700.5796,625.6094
416,701.2785,624.8660
417,701.8308,623.8247
418,703.2244,623.2367
419,703.8096,622.3966
420,708.1563,622.8454
421,708.7447,621.9047
422,709.2826,621.0745
423,709.8170,620.2395
424,710.1466,619.3698
425,710.5953,618.5037
426,711.0731,617.6405
427,711.5617,616.7775
428,712.0545,615.9139
429,712.5482,615.0488
430,713.0412,614.1819
431,723.9235,618.7704
432,724.5674,618.0232
433,725.1973,617.2614
434,725.8545,616.5113
435,726.6183,615.8345
436,727.1537,614.9880
437,727.6956,614.1456
438,728.2638,613.7273
439,728.2646,613.7285
440,728.2654,613.7296
441,728.2661,613.7308
442,732.5892,619.7451
443,732.5901,619.7467
444,732.5910,619.7479
445,732.5919,619.7490
446,732.5927,619.7506
447,732.5935,619.7518
448,732.5944,619.7524
449,732.5951,619.7535
450,744.2832,633.2957
451,744.2850,633.2970
452,744.2868,633.2984
453,744.2885,633.2998
454,744.2903,633.3011
455,744.2920,633.3026
456,744.2934,633.3035
457,744.2949,633.3045
458,750.2200,637.7485
459,750.2218,637.7498
460,744.2993,633.3081
461,744.3004,633.3087
462,744.3018,633.3097
463,744.3031,633.3108
464,744.3043,633.3119
465,744.3054,633.3125
466,729.4737,497.5465
467,729.4727,497.5470
468,729.4717,497.5476
469,674.9528,562.0472
470,678.9058,561.9485
471,682.5146,561.8422
472,685.4812,561.6356
473,689.1071,561.4672
474,692.2406,561.3695
475,694.9509,561.1804
476,695.1102,559.9690
477,695.2845,559.0272
478,695.2361,557.9784
479,694.8808,556.9893
480,696.7941,556.3313
481,697.1370,555.3914
482,697.4962,554.4578
483,697.8704,553.5302
484,698.2582,552.6082
485,706.1635,582.9785
486,706.2765,583.1362
487,706.2687,583.1254
488,706.2611,583.1148
489,706.2536,583.1043
490,706.2461,583.0939
491,706.2477,583.0961
492,689.4049,542.0974
493,692.0667,541.7516
494,689.5507,540.1449
495,684.0262,537.5870
496,685.6500,536.9739
497,681.6090,535.1150
498,681.6476,533.9771
499,677.6261,532.1351
500,687.9076,533.5166
501,691.8573,533.4535
502,689.4167,531.7095
503,682.9223,529.1882
504,685.4028,528.7271
505,674.6786,525.3082
506,681.3765,525.7624
507,693.9638,527.7969
508,690.9845,525.9137
509,691.6535,525.1515
510,689.2140,523.4054
511,685.0893,521.5532
512,685.1536,520.4875
513,682.6104,518.9286
514,693.9051,520.4951
515,693.7800,519.5387
516,690.6818,517.6664
517,691.4310,516.8787
518,688.9750,515.1559
519,671.0441,510.2686
520,674.4208,509.8726
521,682.4372,510.5452
522,678.2709,508.6620
523,678.3594,507.6518
524,667.7889,504.5025
525,674.2874,504.7500
526,669.9946,502.8686
527,670.2213,501.8401
528,654.9663,498.1749
529,666.1393,498.9536
530,664.5395,497.7509
531,660.5010,496.0192
532,660.4569,494.8663
533,658.8689,493.6462
534,657.2518,492.4691
535,651.1070,490.4163
536,653.1964,489.5445
537,651.5951,488.3451
538,649.9820,487.1625
539,648.3698,485.9786
540,644.4023,484.2906
541,641.1160,482.8589
542,642.5845,482.1199
543,641.1211,480.6429
544,639.5136,479.4526
545,637.9070,478.2611
546,636.3012,477.0685
547,634.6962,475.8748
548,633.0921,474.6799
549,631.4887,473.4839
550,629.8862,472.2869
551,628.2845,471.0887
552,626.6835,469.8895
553,625.0834,468.6892
554,623.4840,467.4879
555,621.8685,466.3457
556,620.1412,465.3667
557,618.7683,464.3425
558,617.8981,463.2670
559,616.6354,462.0225
560,616.4936,460.7873
561,615.2006,459.9184
562,613.9235,458.7928
563,613.1127,457.7711
564,612.1904,456.4630
565,612.0846,455.7424
566,610.8864,454.6136
567,609.8714,453.5503
568,608.7039,452.2230
569,607.8251,451.2397
570,607.7453,450.4196
571,606.9126,449.1356
572,605.2292,448.0457
573,605.1778,447.1064
574,603.8928,446.1199
575,603.0091,445.2342
576,602.0806,444.1861
577,601.2573,443.3769
578,599.9325,442.6670
579,599.8930,441.7702
580,598.5955,440.8735
581,597.7044,440.0757
582,596.8592,438.9805
583,595.8813,438.1832
584,594.6703,437.3016
585,594.6407,436.4510
586,593.3331,435.6207
587,592.0556,434.5989
588,591.1855,433.7012
589,590.3047,432.8773
590,589.4446,431.9288
591,589.4202,431.1439
592,588.1076,430.3442
593,586.8090,429.4592
594,586.3009,428.5643
595,585.0779,427.6808
596,584.6461,426.8024
597,583.7092,425.9218
598,582.9138,425.0722
599,582.0131,424.2044
600,581.1448,423.1258
601,580.2281,422.4346
602,579.0190,421.6193
603,578.5884,420.7351
604,577.7511,419.8023
605,576.4351,419.0205
606,575.9594,417.9914
607,575.1722,417.2174
608,574.3067,416.3968
609,573.3845,415.3149
610,572.5169,414.7497
611,571.2978,413.7789
612,570.8108,412.8187
613,570.0098,412.1853
614,568.7314,411.2048
615,568.2769,410.3976
616,567.3952,409.6416
617,566.5100,409.1720
618,565.4793,409.2346
619,564.4545,409.2992
620,563.5856,409.3501
621,562.3848,409.4234
622,561.3522,409.4871
623,560.5926,409.5341
624,570.7135,408.9142
625,570.7135,408.9142
626,570.7135,408.9141
627,570.7135,408.9141
628,563.3075,409.3665
629,563.3076,409.3665
630,563.3076,409.3665
631,563.3076,409.3665
632,563.3076,409.3664
633,563.3092,409.3676
634,563.3092,409.3676
635,563.3092,409.3676
636,563.3092,409.3675
